
###########################################################################################################################################################

 learning rate: 0.0001, mlp_hidden_sizes: [1024, 512], jump_frames: 6, use_reconstruction_layer: True
batch_size: 8, norm: True, train_seqeunces: [0, 2, 3, 5], val_sequences: [6, 7, 8], RL_TEST_NAMES: ['fe2fadf89a84e92a', 'f01e8b6f8e10fdd9', 'f1ee9dc6135e5307', 'a41df4fa06fd391b', 'bc0ebb7482f14795', '9bdd34e784c04e3a', '98ebee1c36ecec55'], dataset: Sceneflow2Kitti,
average embeddings: False, model: openai/clip-vit-base-patch32, augmentation: True, random crop: True, part: head, get_old_path: False, computer: 1,
RE1 coeff: 0 SED coeff: 0.5, ALG_COEFF: 0, L2_coeff: 1, huber_coeff: 1, frozen layers: 0, trained vit: None, MAX_POOL_SIZE: 3
crop: 224 resize: 256, use conv: True pretrained: None, train_size: 0.002, norm_mean: tensor([0.4815, 0.4578, 0.4082], device='cuda:0'), norm_std: tensor([0.2686, 0.2613, 0.2758], device='cuda:0'), sched: None seed: 300

train size: 32, val size: 24, test size: 1064

algebraic_truth: 0.01724189706146717		 val_algebraic_truth: 0.01761859655380249
             	Algebraic dist: 0.280021071434021		 Val Algebraic dist: 0.26822205384572345
             	RE1 dist: 0.07060954719781876		 Val RE1 dist: 0.04840027789274851
             	SED dist: 0.34316954016685486		 Val SED dist: 0.28355201085408527

Epoch 56/100: Training Loss: 0.12407602369785309		 Val Loss: 0.10597957173983256
             	Training MAE: 0.03755159676074982		 Val MAE: 0.039381638169288635
             	Algebraic dist: 0.24416744709014893		 Val Algebraic dist: 0.19245239098866782
             	RE1 dist: 0.04719138145446777		 Val RE1 dist: 0.04253319899241129
             	SED dist: 0.23580345511436462		 Val SED dist: 0.1990762154261271

Epoch 57/100: Training Loss: 0.07343531399965286		 Val Loss: 0.17784984906514487
             	Training MAE: 0.03714105859398842		 Val MAE: 0.03916763886809349
             	Algebraic dist: 0.17052625119686127		 Val Algebraic dist: 0.24109721183776855
             	RE1 dist: 0.027207694947719574		 Val RE1 dist: 0.07765674591064453
             	SED dist: 0.1348903775215149		 Val SED dist: 0.34262533982594806

Epoch 58/100: Training Loss: 0.048289574682712555		 Val Loss: 0.1216322382291158
             	Training MAE: 0.03690563887357712		 Val MAE: 0.03982362523674965
             	Algebraic dist: 0.11681319773197174		 Val Algebraic dist: 0.20928076903025308
